country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,cases_per_1M,deaths_per_1M,total_tests,tests_per_1M
Iceland,"1,711",10,8,,933,770,10,"5,014",23,"35,253","103,308"
Croatia,"1,650",50,25,2,400,"1,225",34,402,6,"17,790","4,333"
Hungary,"1,458",48,109,10,120,"1,229",58,151,11,"34,819","3,604"
Iraq,"1,378",26,78,2,717,583,,34,2,"37,791",940
Bahrain,"1,361",225,6,,591,764,4,800,4,"67,327","39,567"
New Zealand,"1,349",19,5,1,546,798,4,280,1,"62,827","13,029"
Estonia,"1,332",23,28,3,102,"1,202",9,"1,004",21,"30,764","23,191"
Kuwait,"1,300",66,2,1,150,"1,148",26,304,0.5,,
Slovenia,"1,212",7,55,2,152,"1,005",34,583,26,"35,405","17,030"
Azerbaijan,"1,148",50,12,1,289,847,25,113,1,"66,677","6,576"
Kazakhstan,"1,091",140,12,2,138,941,21,58,0.6,"69,304","3,691"
Lithuania,"1,062",9,24,1,101,937,14,390,9,"41,503","15,246"
Armenia,"1,039",26,14,1,211,814,30,351,5,"7,631","2,575"
Bosnia and Herzegovina,"1,037",28,39,,206,792,4,316,12,"11,612","3,539"
Hong Kong,"1,010",5,4,,397,609,13,135,0.5,"96,709","12,900"
Uzbekistan,998,133,4,,85,909,8,30,0.1,"70,000","2,091"
North Macedonia,854,26,38,4,44,772,15,410,18,"8,552","4,105"
Cameroon,848,28,12,,98,738,,32,0.5,,
Bangladesh,803,182,39,5,42,722,1,5,0.2,"11,223",68
Slovakia,769,27,2,,107,660,5,141,0.4,"28,750","5,266"
Oman,727,128,4,,124,599,3,142,0.8,,
Tunisia,726,19,34,3,43,649,89,61,3,"11,825","1,001"
Cuba,726,57,21,3,121,584,11,64,2,"17,133","1,513"
Diamond Princess,712,,12,,639,61,7,,,,
Bulgaria,685,10,32,3,71,582,36,99,5,"18,502","2,663"
Afghanistan,665,58,21,3,32,612,,17,0.5,,
Cyprus,662,29,12,1,65,585,8,548,10,"17,923","14,845"
Latvia,655,4,5,,16,634,2,347,3,"28,776","15,256"
Andorra,646,8,29,,128,489,17,"8,361",375,"1,673","21,653"
Lebanon,632,2,20,,80,532,34,93,3,"15,408","2,257"
Ivory Coast,626,52,6,1,89,531,,24,0.2,,
Costa Rica,612,17,3,,62,547,14,120,0.6,"6,868","1,348"
Ghana,566,,8,,4,554,2,18,0.3,"37,954","1,221"
Niger,548,19,13,1,86,449,,23,0.5,"4,399",182
Burkina Faso,515,18,27,,161,327,,25,1,,
Uruguay,483,,8,1,248,227,15,139,2,"9,236","2,659"
Albania,467,21,23,,232,212,7,162,8,"4,070","1,414"
Channel Islands,436,5,9,,48,379,,"2,508",52,"3,320","19,095"
Kyrgyzstan,419,42,5,,67,347,5,64,0.8,"9,618","1,474"
Honduras,397,4,25,,7,365,10,40,3,"1,600",162
Taiwan,393,5,6,,114,273,,17,0.3,"47,215","1,982"
Jordan,391,2,7,,215,169,5,38,0.7,"20,500","2,009"
Réunion,391,2,,,40,351,3,437,,,
Malta,384,6,3,,44,337,4,870,7,"18,065","40,913"
San Marino,371,15,36,1,53,282,15,"10,934","1,061",846,"24,933"
Nigeria,343,20,10,,91,242,2,2,0.05,"5,000",24
Bolivia,330,30,27,3,2,301,3,28,2,"2,185",187
Mauritius,324,,9,,42,273,3,255,7,"7,077","5,565"
Guinea,319,69,,,17,302,,24,,,
Palestine,308,18,2,,58,248,,60,0.4,"17,329","3,397"
Djibouti,298,84,2,,41,255,,302,2,"4,949","5,009"
Senegal,291,11,2,,178,111,1,17,0.1,,
Montenegro,274,2,3,,5,266,7,436,5,"2,869","4,568"
Georgia,272,15,3,,68,201,6,68,0.8,"3,271",820
Vietnam,265,3,,,146,119,8,3,,"121,821","1,252"
Isle of Man,242,14,2,,131,109,13,"2,846",24,"2,030","23,873"
DRC,235,1,20,,17,198,,3,0.2,,
Sri Lanka,217,7,7,,56,154,1,10,0.3,"4,525",211
Kenya,208,11,9,1,40,159,2,4,0.2,"8,123",151
Mayotte,207,11,3,,59,145,3,759,11,"1,400","5,132"
Venezuela,189,8,9,,110,70,6,7,0.3,"203,108","7,143"
Faeroe Islands,184,,,,157,27,,"3,766",,"5,509","112,744"
Martinique,157,2,6,,50,101,19,418,16,,
Guatemala,156,1,5,,19,132,3,9,0.3,"1,134",63
Paraguay,147,13,6,,22,119,1,21,0.8,"3,394",476
Guadeloupe,145,2,8,,67,70,13,362,20,,
El Salvador,137,12,6,,22,109,2,21,0.9,"6,729","1,037"
Brunei,136,,1,,107,28,2,311,2,"10,167","23,240"
Gibraltar,129,,,,93,36,1,"3,829",,"1,649","48,945"
Rwanda,127,1,,,42,85,,10,,"1,966",152
Mali,123,18,10,1,26,87,,6,0.5,,
Cambodia,122,,,,77,45,1,7,,"5,768",345
Trinidad and Tobago,113,,8,,16,89,,81,6,"1,126",805
Madagascar,106,,,,21,85,1,4,,,
Monaco,93,,1,,6,86,5,"2,370",25,,
Aruba,92,,,,32,60,1,862,,"1,145","10,724"
French Guiana,86,,,,51,35,1,288,,,
Liechtenstein,79,,1,,55,23,,"2,072",26,900,"23,605"
Togo,77,1,3,,29,45,,9,0.4,"2,739",331
Ethiopia,74,3,3,,14,57,,0.6,0.03,"4,110",36
Jamaica,73,1,4,,19,50,,25,1,"1,199",405
Barbados,72,1,4,,13,55,4,251,14,839,"2,920"
Myanmar,62,21,4,,2,56,,1,0.07,"1,406",26
Congo,60,,5,,5,50,,11,0.9,,
Somalia,60,35,2,1,2,56,2,4,0.1,,
Liberia,59,9,6,1,4,49,,12,1,,
Bermuda,57,,5,1,30,22,3,915,80,416,"6,680"
Gabon,57,8,1,,1,55,,26,0.4,,
French Polynesia,55,2,,,,55,1,196,,920,"3,275"
Cayman Islands,54,1,1,,6,47,3,822,15,580,"8,825"
Uganda,54,,,,7,47,,1,,"5,025",110
Sint Maarten,50,,9,,5,36,2,"1,166",210,134,"3,125"
Bahamas,49,3,8,,6,35,1,125,20,,
Tanzania,49,17,3,,7,39,,0.8,0.05,,
Guyana,47,2,6,,8,33,5,60,8,213,271
Zambia,45,2,2,,30,13,1,2,0.1,"1,653",90
Macao,45,,,,10,35,1,69,,,
Haiti,40,7,3,,,37,,4,0.3,365,32
Guinea-Bissau,38,,,,,38,,19,,"1,500",762
Benin,35,,1,,5,29,,3,0.08,,
Eritrea,34,,,,,34,,10,,,
Saint Martin,32,,2,,11,19,5,828,52,,
Sudan,29,10,4,2,4,21,,0.7,0.09,,
Libya,26,1,1,,9,16,,4,0.1,545,79
Syria,25,,2,,5,18,,1,0.1,,
Antigua and Barbuda,23,2,2,,3,18,1,235,20,73,745
Chad,23,5,,,2,21,,1,,,
Equatorial Guinea,21,,,,4,17,,15,,854,609
Mozambique,21,,,,2,19,,0.7,,683,22
Maldives,20,,,,14,6,,37,,,
Angola,19,,2,,4,13,,0.6,0.06,,
Laos,19,,,,,19,,3,,"1,140",157
Belize,18,4,2,,,16,1,45,5,567,"1,426"
New Caledonia,18,,,,1,17,,63,,"2,608","9,135"
Zimbabwe,17,3,3,,,14,,1,0.2,604,41
Mongolia,17,1,,,4,13,,5,,,
Malawi,16,3,2,,,14,1,0.8,0.1,314,16
Dominica,16,,,,8,8,,222,,345,"4,793"
Fiji,16,,,,,16,,18,,,
Namibia,16,,,,3,13,,6,,362,142
Saint Lucia,15,,,,4,11,,82,,,
Eswatini,15,1,,,7,8,,13,,714,615
Curaçao,14,,1,,8,5,,85,6,,
Nepal,14,2,,,1,13,,0.5,,"5,184",178
Grenada,14,,,,,14,2,124,,92,818
Botswana,13,,1,,,12,,6,0.4,"3,115","1,325"
Saint Kitts and Nevis,12,,,,,12,,226,,216,"4,060"
St. Vincent Grenadines,12,,,,1,11,,108,,56,505
CAR,11,3,,,3,8,,2,,,
Greenland,11,,,,11,0,,194,,912,"16,065"
Montserrat,11,2,,,1,10,1,"2,204",,36,"7,212"
Seychelles,11,,,,,11,,112,,,
Cabo Verde,10,2,1,,1,8,,18,2,,
Suriname,10,,1,,6,3,,17,2,,
Turks and Caicos,10,1,1,,,9,,258,26,69,"1,782"
Sierra Leone,10,,,,,10,,1,,,
MS Zaandam,9,,2,,,7,,,,,
Gambia,9,,1,,2,6,,4,0.4,281,116
Nicaragua,9,,1,,4,4,,1,0.2,,
Vatican City,8,,,,2,6,,"9,988",,,
Mauritania,7,,1,,2,4,,2,0.2,527,113
St. Barth,6,,,,4,2,,607,,,
Western Sahara,6,,,,,6,,10,,,
Burundi,5,,1,1,,4,,0.4,0.08,,
Bhutan,5,,,,2,3,,6,,"1,166","1,511"
Falkland Islands,5,,,,1,4,,"1,437",,137,"39,368"
Sao Tome and Principe,4,,,,,4,,18,,19,87
South Sudan,4,,,,,4,,0.4,,,
Timor-Leste,4,2,,,1,3,,3,,,
Anguilla,3,,,,1,2,,200,,,
British Virgin Islands,3,,,,2,1,,99,,,
Caribbean Netherlands,3,,,,,3,,114,,10,381
Papua New Guinea,2,,,,,2,,0.2,,72,8
Saint Pierre Miquelon,1,,,,,1,,173,,,
Yemen,1,,,,,1,,0.03,,,
